HFIJA111A A M1 1 1 363.189 23.841 0.300 0.041 6 XGM 0.0068 343.573 22.553
HFIJA112A A M1 1 1 374.161 23.658 0.283 0.043 6 XGM 0.0071 370.552 23.430
HFIJA113A A M1 1 1 368.425 22.987 0.312 0.042 6 XGM 0.0071 362.029 22.588
HFIJA211A A M2 1 2 370.513 24.377 0.356 0.042 6 XGM 0.0070 361.507 23.785
HFIJA212A A M2 1 2 340.311 22.783 0.306 0.044 6 XGM 0.0074 350.027 23.433
HFIJA213A A M2 1 2 348.015 22.918 0.325 0.044 6 XGM 0.0074 357.280 23.528
HFIJB111A B M1 2 1 389.234 24.235 0.316 0.041 6 XGM 0.0068 366.109 22.795
HFIJB112A B M1 2 1 381.337 23.404 0.308 0.043 6 XGM 0.0072 379.719 23.305
HFIJB113A B M1 2 1 361.174 22.881 0.308 0.044 6 XGM 0.0073 364.239 23.076
HFIJB211A B M2 2 2 401.224 24.332 0.315 0.039 6 XGM 0.0065 360.049 21.835
HFIJB212A B M2 2 2 391.416 23.661 0.326 0.043 6 XGM 0.0072 392.322 23.716
HFIJB213A B M2 2 2 359.564 23.361 0.319 0.044 6 XGM 0.0073 365.251 23.731
HFIJC111A C M1 3 1 368.314 23.417 0.315 0.038 6 XGM 0.0064 325.685 20.707
HFIJC112A C M1 3 1 378.487 24.196 0.354 0.041 6 XGM 0.0069 363.301 23.225
HFIJC112A C M1 3 1 367.440 22.850 0.314 0.044 6 XGM 0.0073 370.700 23.053
HFIJC211A C M2 3 2 372.821 23.749 0.306 0.040 6 XGM 0.0067 346.787 22.090
HFIJC212A C M2 3 2 359.372 23.098 0.306 0.043 6 XGM 0.0072 357.431 22.973
HFIJC213A C M2 3 2 384.495 23.488 0.312 0.044 6 XGM 0.0073 391.912 23.941
